Name,country,latitude,longitude,max temperature,cloudiness,date,humidity,wind speed
richards bay,ZA,-28.77,32.06,73.65,56,1551470144,83,4.63
sao raimundo nonato,,,,,,,,
kandrian,PG,-6.21,149.55,76.89,36,1551470145,95,3.06
faya,SA,18.39,42.45,60.8,0,1551466800,82,4.7
sarankhola,BD,22.31,89.79,60.15,0,1551470148,98,4.97
tres arroyos,AR,-38.38,-60.28,71.94,32,1551470151,40,18.95
ahipara,NZ,-35.17,173.16,59,0,1551470099,100,7.65
utiroa,,,,,,,,
viligili,,,,,,,,
nalut,LY,31.86,10.98,45.57,0,1551470155,62,5.64
jiwani,PK,25.05,61.74,73.92,48,1551470155,82,27.67
yenagoa,NG,4.92,6.26,75.41,64,1551470156,91,2.95
verkhnyaya inta,RU,65.99,60.32,0.08,44,1551470158,72,4.07
ballinasloe,IE,53.33,-8.22,46.16,68,1551470160,94,6.64
cukai,MY,4.25,103.42,73.4,0,1551466800,94,2.24
longyearbyen,NO,78.22,15.63,-0.41,40,1551466200,77,4.7
tumannyy,,,,,,,,
acapulco,MX,16.86,-99.88,82.4,5,1551466140,74,10.29
sur,OM,22.57,59.53,74.15,0,1551470168,91,20.18
coahuayana,MX,18.62,-100.35,88.23,0,1551470171,27,3.06
yorosso,ML,12.35,-4.78,67.08,0,1551470172,26,7.87
ust-kuyga,RU,70,135.55,-21.66,76,1551470172,61,3.4
esso,RU,55.93,158.7,-22.29,0,1551470175,28,1.5
jijiga,ET,9.35,42.8,54.66,0,1551470176,81,2.95
tiznit,MA,29.7,-9.73,54.75,24,1551470177,97,2.95
kendari,ID,-3.99,122.52,75.63,80,1551470185,92,2.62
pasighat,IN,28.06,95.33,43.95,8,1551470190,72,2.95
malacky,SK,48.43,17.02,48.99,75,1551470153,81,14.99
innisfail,CA,52.02,-113.95,-5.01,75,1551470116,63,11.41
moron,VE,10.49,-68.2,81.8,12,1551470194,55,5.41
zile,TR,40.3,35.89,43,40,1551468000,86,4.7
saint-francois,FR,46.42,3.91,48.2,90,1551469551,76,2.24
saint-augustin,FR,44.83,-0.61,51.01,75,1551470048,76,3.36
simpang,MY,4.82,100.71,77,75,1551466800,88,2.24
mattawa,CA,46.32,-78.7,30.99,20,1551469816,79,5.82
yongan,CN,39.7,113.69,17.58,0,1551470198,71,3.4
horqueta,PY,-23.34,-57.05,88.32,0,1551470198,47,1.61
batemans bay,AU,-35.71,150.18,64.99,68,1551470102,91,1.99
formoso do araguaia,,,,,,,,
narsaq,GL,60.91,-46.05,39.2,75,1551466200,35,18.34
sarakhs,TM,36.54,61.16,48.2,92,1551466800,87,4.7
zachepylivka,UA,49.2,35.24,30.23,76,1551470202,88,14.58
half moon bay,US,37.46,-122.43,55,40,1551470042,66,4.7
oxapampa,PE,-10.58,-75.4,55.16,92,1551470212,100,2.39
hatillo,PR,18.49,-66.83,84.99,75,1551470046,75,17.22
kaniama,CD,-7.57,24.18,69.11,32,1551470213,95,2.62
gorontalo,ID,0.54,123.06,68.25,0,1551470214,94,2.06
marsa matruh,EG,31.35,27.25,51.8,0,1551466800,76,4.7
balkhash,KZ,46.84,74.98,32.34,80,1551470216,92,5.64
eyl,SO,7.98,49.82,73.7,24,1551470216,100,7.87
hanstholm,DK,57.12,8.61,35.01,0,1551470104,71,4.29
kintampo,GH,8.05,-1.73,74.64,48,1551470216,43,2.95
belaya gora,RU,68.54,146.19,-33.05,8,1551470217,58,3.06
galveston,US,40.58,-86.19,42.01,40,1551470100,41,9.17
nsoko,ZA,-27.07,31.93,78.8,92,1551466800,78,3.36
hagen,DE,51.36,7.47,44.01,75,1551470194,75,8.05
trinidad,UY,-33.52,-56.9,82.4,75,1551466800,45,13.87
san francisco,US,37.78,-122.42,55,40,1551469922,66,4.7
sfantu gheorghe,RO,44.65,26.83,53.01,0,1551470050,45,1.12
fare,PF,-16.7,-151.02,82.02,92,1551470223,100,8.77
ca mau,VN,9.18,105.15,73.2,0,1551470223,100,7.09
qafqafa,JO,32.35,35.94,44.6,40,1551466800,81,10.29
wahran,,,,,,,,
rafai,CF,4.95,23.92,71.4,24,1551470230,93,3.18
yulara,AU,-25.24,130.99,77,0,1551466800,23,5.82
bandarbeyla,SO,9.49,50.81,77.16,0,1551470231,100,6.42
klaeng,TH,12.78,101.65,82.99,0,1551469692,78,9.44
jaru,BR,-10.43,-62.48,83.51,32,1551470232,75,2.51
marialva,BR,-23.48,-51.8,82.29,0,1551470233,63,4.41
sterling,US,39,-77.4,37,90,1551470230,90,6.93
boa esperanca,BR,-1.91,-60,90.57,12,1551470237,48,3.4
gat,SN,14.69,-16.54,82.4,0,1551468600,7,12.75
finote selam,ET,10.7,37.27,55.88,48,1551470240,90,1.39
mercedes,UY,-33.25,-58.03,82.02,0,1551470241,57,12.8
vanimo,PG,-2.67,141.3,82.11,92,1551470241,100,9.22
lufilufi,WS,-13.87,-171.6,80.6,75,1551468786,83,6.93
ulaangom,MN,49.98,92.07,-5.55,0,1551470242,67,2.39
bombay,US,44.94,-74.57,35.01,1,1551469980,36,2.39
aksu,KZ,52.04,76.93,12.2,75,1551466800,92,2.95
carbonia,IT,39.17,8.53,55.4,20,1551468000,71,13.87
aljezur,PT,37.31,-8.8,60.01,8,1551470228,91,3
khuldabad,IN,20.05,75.18,57.27,0,1551470247,68,3.74
tilichiki,RU,60.47,166.1,-15.9,12,1551470250,45,4.18
curup,ID,-3.47,102.53,68.43,44,1551470250,94,0.72
deputatskiy,RU,69.3,139.9,-26.52,64,1551470254,38,2.73
cayenne,GF,4.94,-52.33,84.2,100,1551466800,62,14.99
mecca,SA,21.43,39.83,57.23,0,1551470144,69,5.75
namatanai,PG,-3.66,152.44,82.56,12,1551470258,99,9.1
clyde river,CA,70.47,-68.59,3.2,5,1551466800,77,36.91
bathsheba,BB,13.22,-59.52,84.2,20,1551466800,54,26.4
ningan,,,,,,,,
nanakuli,US,21.39,-158.15,69.8,90,1551470259,68,4.7
atikokan,CA,48.76,-91.62,15.6,88,1551470263,61,3.4
samfya,ZM,-11.37,29.56,66.45,64,1551470265,94,3.96
slonim,BY,53.09,25.32,20.28,0,1551470266,59,11.23
staryy nadym,RU,65.61,72.68,11.46,64,1551470266,87,3.62
karasjok,NO,69.47,25.52,1.4,0,1551469800,84,1.12
moussoro,TD,13.64,16.49,78.6,20,1551470271,31,10
southbridge,US,42.08,-72.03,37.99,1,1551470267,50,5.82
santiago del estero,AR,-27.8,-64.26,89.36,0,1551470271,48,16.82
karaul,,,,,,,,
at-bashi,KG,41.17,75.81,-4.11,20,1551470273,58,1.95
halifax,CA,44.65,-63.58,35.01,20,1551470226,22,18.34
ode,NG,7.79,5.71,76.98,88,1551470274,86,3.62
gisors,FR,49.28,1.78,50,90,1551470153,87,3.36
zaozerne,UA,51.37,23.94,28.16,32,1551470275,61,12.46
porto belo,BR,-27.15,-48.54,82.4,20,1551470247,65,12.75
dalby,AU,-27.18,151.26,66,75,1551469846,88,12.75
kangaatsiaq,GL,68.31,-53.46,20.6,12,1551470281,100,10.33
kemin,KG,42.79,75.7,6.56,24,1551470281,55,1.72
miraflores,CO,5.2,-73.14,62.63,76,1551470282,69,2.39
skole,UA,49.04,23.51,36,92,1551470176,69,5.97
doka,SD,13.52,35.76,71.49,0,1551470284,16,13.24
liverpool,GB,53.41,-2.98,50,20,1551470275,81,8.05
salinopolis,BR,-0.61,-47.36,78.42,56,1551470293,100,5.64
dingle,PH,11,122.67,71.22,0,1551470293,89,11.79
qabis,,,,,,,,
baoro,CF,5.69,15.95,75.41,44,1551470294,67,2.73
bugene,TZ,-1.59,31.14,68.61,36,1551470294,69,2.28
montceau-les-mines,FR,46.67,4.36,48.2,90,1551470176,76,2.24
okato,NZ,-39.19,173.88,64,0,1551469481,53,1.99
pangnirtung,CA,66.15,-65.72,-5.81,75,1551466800,70,2.24
porto novo,BR,-23.68,-45.44,71.6,75,1551466800,100,4.7
kathor,IN,21.29,72.94,65.82,0,1551470303,61,4.41
unjha,IN,23.8,72.4,65.6,0,1551470303,34,10.22
maloy,ID,1,118.1,74.28,8,1551470304,85,3.29
brae,GB,60.4,-1.35,42.8,92,1551468000,86,11.41
broken hill,AU,-31.97,141.45,71.6,0,1551466800,30,6.93
acarau,,,,,,,,
posse,BR,-14.08,-46.36,74.37,56,1551470306,93,3.4
champerico,MX,16.38,-93.6,93.2,40,1551469800,26,11.41
vydrino,RU,51.46,104.64,14,92,1551470307,38,7
port blair,IN,11.67,92.75,81.57,8,1551470041,100,9.1
ngukurr,,,,,,,,
la libertad,PE,-16.38,-71.56,66.2,40,1551466800,55,13.87
willowmore,ZA,-33.3,23.49,55.38,8,1551470314,94,2.28
shumikha,RU,55.23,63.28,23.61,80,1551470316,87,14.7
concordia,AR,-31.4,-58.02,86,0,1551470212,37,12.75
wattegama,LK,7.35,80.68,65.78,44,1551470320,92,1.95
omboue,GA,-1.57,9.26,82.61,36,1551470321,100,5.41
el wasta,,,,,,,,
asbestos,CA,45.78,-71.93,28,20,1551469628,35,8.05
saint-joseph,FR,43.56,6.97,59,0,1551470284,87,3.36
sturgeon bay,US,44.83,-87.38,27,90,1551470010,49,3.96
santa marta,CO,11.24,-74.21,87.8,75,1551466800,62,4.7
haines junction,CA,60.75,-137.51,14.25,68,1551470323,84,2.62
itarema,BR,-2.92,-39.92,80.4,76,1551470326,83,6.64
vestmannaeyjar,IS,63.44,-20.27,40.26,92,1551470328,100,8.77
pisco,PE,-13.71,-76.2,71.6,0,1551466800,30,8.05
tooele,US,40.53,-112.3,48,40,1551469711,42,5.82
mananjary,MG,-19.16,46.8,64.83,8,1551470331,83,5.64
atasu,KZ,48.68,71.64,25.46,88,1551470332,81,3.51
conde,BR,-11.81,-37.61,83.64,0,1551470333,77,11.23
bara,NG,10.41,10.6,79.23,68,1551470333,38,5.64
portland,US,45.52,-122.67,50,75,1551469579,82,3.29
diego de almagro,CL,-26.39,-70.05,76.17,0,1551470334,51,3.85
skjaerhollen,,,,,,,,
kulhudhuffushi,MV,6.62,73.07,82.29,0,1551470334,100,6.08
san juan,PR,18.47,-66.12,84.99,75,1551470102,65,13.87
tuggurt,,,,,,,,
port-cartier,CA,50.03,-66.88,25,20,1551470313,35,9.17
bibiani,GH,6.45,-2.31,84.23,92,1551470341,53,5.75
magdagachi,RU,53.45,125.8,3.18,32,1551470343,62,2.28
juneau,US,58.3,-134.42,35.6,40,1551470234,92,2.28
qom,IR,34.64,50.88,40.35,0,1551470302,76,14.47
kulachi,PK,31.93,70.46,46.25,92,1551470350,97,3.18
ascona,CH,46.16,8.77,55.99,0,1551470343,40,2.24
banff,CA,51.18,-115.57,-7.01,64,1551468843,73,10
pochutla,MX,15.74,-96.47,90,20,1551469518,70,14.99
brownsville,US,25.91,-97.49,78.8,75,1551470305,78,5.82
ossora,RU,59.24,163.07,-10.95,56,1551470362,89,2.28
xuddur,SO,4.12,43.89,77.16,0,1551470363,39,12.01
copiapo,CL,-27.37,-70.33,68,90,1551466800,68,5.82
buchanan,LR,5.88,-10.05,82.4,40,1551466800,78,6.53
san vicente,SV,13.64,-88.78,87.8,20,1551470116,58,9.17
abiy adi,,,,,,,,
zemio,CF,5.02,25.13,70.77,24,1551470366,91,2.84
dordrecht,NL,51.8,4.68,45,90,1551470168,81,4.7
ginda,IN,30.69,78.49,34.77,80,1551470368,67,2.73
oyama,JP,36.31,139.8,48.99,20,1551470103,74,4.52
turbat,PK,26,63.05,67.17,92,1551470369,91,20.07
petropavlovsk-kamchatskiy,RU,53.05,158.65,3.2,0,1551466800,65,6.71
samana,EC,0.12,-76.97,84.2,20,1551466800,66,5.82
jiaozuo,CN,35.21,113.25,32.21,80,1551470370,85,2.39
lugovoy,RU,59.72,65.88,25.59,80,1551470370,88,9.44
charters towers,AU,-20.07,146.27,66.95,0,1551470370,82,8.66
kimparana,ML,12.83,-4.92,67.08,0,1551470371,26,7.87
bay roberts,CA,47.58,-53.28,26.01,20,1551470303,58,25.28
sayhat,SA,26.49,50.04,64.4,0,1551468600,34,25.28
griffith,AU,-34.29,146.06,71.6,0,1551466800,49,2.24
